,train_loss,val_loss,grad_norm
0,80.3464,25.3238,3096.15
1,49.0091,89.8841,3536.02
2,42.4086,50.1679,2698.31
3,38.8546,46.3284,1995.22
4,36.5949,34.1807,1781.46
5,34.9582,33.7554,1489.45
6,33.6501,28.8085,1442.45
7,32.5589,29.2263,1251.81
8,31.6268,26.58,1235.41
9,30.8233,27.0623,1081.17
10,30.1262,25.3632,1072.79
11,29.5192,25.7358,942.393
12,28.9887,24.5415,938.463
13,28.5235,24.7875,827.137
14,28.114,23.916,826.641
15,27.7525,24.0547,731.104
16,27.432,23.4108,733.42
17,27.1469,23.4659,651.009
18,26.8923,22.9902,655.628
19,26.6641,22.982,584.126
20,26.4587,22.6334,590.608
21,26.2732,22.5777,528.162
22,26.1049,22.3266,536.125
23,25.9518,22.2353,481.189
24,25.8119,22.0597,490.303
25,25.6836,21.9417,441.597
26,25.5655,21.8252,451.577
27,25.4566,21.6871,408.041
28,25.3556,21.6176,418.65
29,25.2618,21.4643,379.415
30,25.1744,21.4324,390.454
31,25.0927,21.2677,354.81
32,25.0161,21.2663,366.117
33,24.9442,21.0931,333.487
34,24.8765,21.1168,344.935
35,24.8126,20.9372,314.851
36,24.7521,20.9817,326.34
37,24.6949,20.7976,298.423
38,24.6406,20.8595,309.877
39,24.5889,20.6722,283.821
40,24.5397,20.749,295.183
41,24.4928,20.5595,270.74
42,24.448,20.649,281.971
43,24.4052,20.4583,258.937
44,24.3642,20.5587,270.008
45,24.3249,20.3676,248.218
46,24.2872,20.4775,259.11
47,24.251,20.2865,238.426
48,24.2163,20.4047,249.127
49,24.1828,20.2143,229.436
50,24.1505,20.3398,239.94
51,24.1195,20.1504,221.145
52,24.0895,20.2823,231.449
53,24.0606,20.0942,213.468
54,24.0327,20.2319,223.573
55,24.0057,20.0454,206.335
56,23.9796,20.1881,216.244
57,23.9544,20.0034,199.688
58,23.9299,20.1507,209.404
59,23.9062,19.968,193.477
60,23.8833,20.1194,203.004
61,23.861,19.9388,187.659
62,23.8394,20.0939,197.002
63,23.8184,19.9155,182.196
64,23.798,20.0739,191.361
65,23.7782,19.8977,177.057
66,23.759,20.0592,186.048
67,23.7403,19.8854,172.213
68,23.7221,20.0496,181.036
69,23.7044,19.8781,167.639
70,23.6871,20.0448,176.298
71,23.6703,19.8757,163.312
72,23.6539,20.0447,171.812
73,23.6379,19.878,159.211
