,train_loss,val_loss,grad_norm
0,29.161,22.6749,20416.7
1,13.0148,8.83168,10313.7
2,7.14783,5.11025,774.308
3,6.99981,5.0289,813.736
4,6.249,4.61864,401.005
5,6.03068,4.49663,203.85
6,5.8016,4.2305,141.107
7,5.73852,4.19976,89.7926
8,5.73844,4.19454,36.8305
9,5.73233,4.20513,0.6589
10,5.73233,4.20515,5.69369e-05
11,5.73233,4.20515,1.11894e-07
12,5.73233,4.20515,1.67767e-07
13,5.73233,4.20515,1.81735e-10
14,5.73233,4.20515,5.76303e-10
15,5.73233,4.20515,5.39509e-10
16,5.73233,4.20515,2.09296e-11
