,train_loss,val_loss,grad_norm
0,26.8529,20.51,18769.1
1,14.1895,9.04586,15957.2
2,11.1785,7.36689,8412.38
3,9.59055,5.56952,8700.81
4,8.65678,5.5239,5011.51
5,8.08225,4.81111,5412.49
6,7.7153,5.01614,3140.32
7,7.48646,4.68611,3427.18
8,7.33591,4.90301,2012.19
9,7.23974,4.73084,2243.06
10,7.17302,4.90596,1349.38
11,7.12826,4.79935,1566.86
12,7.09428,4.93352,981.541
13,7.06972,4.8514,1210.48
14,7.04866,4.95781,794.892
15,7.03223,4.88149,1040.41
16,7.01633,4.97193,707.731
17,7.00334,4.89449,962.461
18,6.98964,4.97622,666.69
19,6.97826,4.89656,923.054
20,6.96564,4.97333,644.231
21,6.95512,4.8923,898.378
22,6.94317,4.96592,628.827
23,6.93322,4.88456,879.31
24,6.92176,4.95593,616.171
25,6.91224,4.875,862.553
26,6.90118,4.94459,604.714
27,6.89203,4.86458,846.926
28,6.88134,4.93266,593.898
29,6.87251,4.85383,831.999
30,6.86216,4.92056,583.516
31,6.85362,4.84307,817.6
32,6.8436,4.90855,573.481
33,6.83533,4.83246,803.656
34,6.82561,4.89675,563.754
35,6.8176,4.82208,790.126
36,6.80818,4.88524,554.311
37,6.80041,4.81198,776.983
38,6.79126,4.87405,545.136
39,6.78373,4.80219,764.208
40,6.77484,4.8632,536.215
41,6.76753,4.79269,751.783
42,6.7589,4.85268,527.536
43,6.7518,4.7835,739.692
44,6.74341,4.84249,519.089
45,6.73652,4.7746,727.919
46,6.72836,4.83262,510.863
47,6.72166,4.76598,716.451
48,6.71373,4.82305,502.848
49,6.70722,4.75763,705.276
50,6.6995,4.81379,495.037
51,6.69316,4.74955,694.382
52,6.68565,4.8048,487.42
53,6.67949,4.74171,683.756
54,6.67218,4.79609,479.99
55,6.66619,4.73412,673.389
56,6.65907,4.78764,472.74
57,6.65323,4.72675,663.27
58,6.6463,4.77945,465.662
59,6.64061,4.7196,653.39
60,6.63386,4.77149,458.75
61,6.62832,4.71267,643.741
62,6.62174,4.76376,451.999
63,6.61635,4.70594,634.313
64,6.60992,4.75625,445.402
65,6.60467,4.6994,625.099
66,6.59841,4.74895,438.954
67,6.59329,4.69305,616.091
68,6.58718,4.74186,432.65
69,6.58219,4.68687,607.283
70,6.57623,4.73495,426.484
71,6.57136,4.68087,598.668
72,6.56555,4.72824,420.453
73,6.5608,4.67503,590.238
74,6.55512,4.72171,414.551
75,6.55049,4.66935,581.989
76,6.54495,4.71535,408.775
77,6.54042,4.66381,573.915
78,6.53501,4.70915,403.121
79,6.53059,4.65843,566.01
80,6.52531,4.70312,397.585
81,6.521,4.65319,558.269
82,6.51584,4.69724,392.163
83,6.51163,4.64808,550.686
84,6.50658,4.6915,386.852
85,6.50247,4.6431,543.259
86,6.49754,4.68591,381.649
87,6.49352,4.63824,535.981
88,6.4887,4.68046,376.551
89,6.48477,4.63351,528.849
90,6.48006,4.67514,371.554
91,6.47622,4.62889,521.859
92,6.47161,4.66994,366.656
93,6.46786,4.62438,515.006
94,6.46335,4.66487,361.855
95,6.45968,4.61998,508.287
96,6.45527,4.65992,357.147
97,6.45169,4.61569,501.699
98,6.44737,4.65509,352.53
99,6.44386,4.61149,495.238
100,6.43964,4.65036,348.002
101,6.4362,4.6074,488.901
102,6.43207,4.64574,343.561
103,6.42871,4.60339,482.684
104,6.42466,4.64123,339.203
105,6.42138,4.59948,476.584
106,6.41741,4.63681,334.928
107,6.41419,4.59565,470.6
108,6.41032,4.6325,330.733
109,6.40716,4.5919,464.727
110,6.40336,4.62827,326.616
111,6.40028,4.58824,458.963
112,6.39655,4.62414,322.576
113,6.39353,4.58466,453.305
114,6.38988,4.62009,318.61
115,6.38692,4.58115,447.751
116,6.38335,4.61613,314.716
117,6.38045,4.57772,442.299
118,6.37694,4.61224,310.893
119,6.3741,4.57435,436.946
120,6.37067,4.60844,307.14
121,6.36788,4.57106,431.689
122,6.36452,4.60472,303.455
123,6.36178,4.56783,426.527
124,6.35848,4.60107,299.835
125,6.35581,4.56466,421.458
126,6.35257,4.59749,296.28
127,6.34994,4.56156,416.479
128,6.34677,4.59398,292.789
129,6.34419,4.55852,411.588
130,6.34108,4.59054,289.359
131,6.33855,4.55554,406.783
132,6.3355,4.58717,285.989
133,6.33302,4.55261,402.063
134,6.33002,4.58385,282.679
135,6.32759,4.54974,397.425
136,6.32465,4.5806,279.426
137,6.32227,4.54692,392.868
138,6.31938,4.57742,276.23
139,6.31704,4.54416,388.389
140,6.3142,4.57428,273.089
141,6.3119,4.54144,383.989
142,6.30912,4.57121,270.003
143,6.30686,4.53877,379.663
144,6.30413,4.56819,266.969
145,6.30192,4.53615,375.412
146,6.29923,4.56522,263.987
147,6.29706,4.53358,371.233
148,6.29442,4.56231,261.055
149,6.29229,4.53105,367.125
150,6.28969,4.55945,258.173
151,6.2876,4.52856,363.086
152,6.28505,4.55663,255.34
153,6.28299,4.52611,359.115
154,6.28049,4.55386,252.554
155,6.27847,4.52371,355.21
156,6.27601,4.55114,249.815
157,6.27402,4.52134,351.371
158,6.2716,4.54847,247.121
159,6.26965,4.51902,347.595
160,6.26727,4.54583,244.472
161,6.26535,4.51673,343.882
162,6.26302,4.54324,241.867
163,6.26113,4.51448,340.229
164,6.25883,4.5407,239.304
165,6.25698,4.51226,336.637
166,6.25472,4.53819,236.784
167,6.2529,4.51008,333.103
168,6.25067,4.53572,234.304
169,6.24888,4.50793,329.626
170,6.24669,4.53329,231.865
171,6.24493,4.50581,326.206
172,6.24278,4.5309,229.464
173,6.24105,4.50373,322.841
174,6.23893,4.52854,227.103
175,6.23723,4.50168,319.529
176,6.23514,4.52622,224.779
177,6.23347,4.49965,316.27
178,6.23142,4.52393,222.492
179,6.22977,4.49766,313.064
180,6.22775,4.52168,220.241
181,6.22613,4.49569,309.907
182,6.22414,4.51946,218.026
183,6.22254,4.49376,306.801
184,6.22059,4.51727,215.846
185,6.21902,4.49185,303.743
186,6.21709,4.51512,213.699
187,6.21555,4.48996,300.732
188,6.21365,4.51299,211.587
189,6.21213,4.48811,297.769
190,6.21026,4.5109,209.506
191,6.20876,4.48628,294.851
192,6.20692,4.50883,207.458
193,6.20545,4.48447,291.978
194,6.20364,4.50679,205.441
195,6.20218,4.48269,289.149
196,6.2004,4.50478,203.455
197,6.19897,4.48093,286.362
198,6.19721,4.5028,201.5
199,6.1958,4.47919,283.619
200,6.19407,4.50084,199.573
201,6.19268,4.47748,280.916
202,6.19097,4.49891,197.676
203,6.1896,4.47578,278.254
204,6.18792,4.49701,195.807
205,6.18657,4.47411,275.632
206,6.18492,4.49513,193.966
207,6.18359,4.47247,273.048
208,6.18195,4.49327,192.152
209,6.18065,4.47084,270.503
210,6.17904,4.49144,190.365
211,6.17775,4.46923,267.995
212,6.17616,4.48963,188.604
213,6.17489,4.46764,265.524
214,6.17332,4.48784,186.869
215,6.17207,4.46607,263.088
216,6.17052,4.48608,185.158
217,6.16929,4.46452,260.688
218,6.16777,4.48434,183.473
219,6.16655,4.46299,258.323
220,6.16505,4.48261,181.812
221,6.16385,4.46147,255.991
222,6.16237,4.48091,180.174
223,6.16118,4.45998,253.692
224,6.15972,4.47923,178.56
225,6.15856,4.4585,251.426
226,6.15712,4.47757,176.968
227,6.15597,4.45703,249.192
228,6.15454,4.47593,175.399
229,6.15341,4.45559,246.989
230,6.152,4.47431,173.852
231,6.15089,4.45416,244.817
232,6.1495,4.47271,172.326
233,6.1484,4.45275,242.675
234,6.14703,4.47113,170.822
235,6.14594,4.45135,240.562
236,6.14459,4.46956,169.337
237,6.14352,4.44997,238.478
238,6.14219,4.46802,167.874
239,6.14113,4.4486,236.423
240,6.13981,4.46649,166.43
241,6.13877,4.44725,234.395
242,6.13747,4.46497,165.005
243,6.13644,4.44591,232.395
244,6.13516,4.46348,163.6
245,6.13414,4.44459,230.421
246,6.13288,4.462,162.213
247,6.13187,4.44328,228.473
248,6.13062,4.46053,160.845
249,6.12963,4.44198,226.552
250,6.1284,4.45909,159.495
251,6.12742,4.4407,224.655
252,6.1262,4.45765,158.163
253,6.12523,4.43944,222.784
254,6.12403,4.45624,156.848
255,6.12308,4.43818,220.936
256,6.12189,4.45484,155.549
257,6.12095,4.43694,219.113
258,6.11977,4.45345,154.268
259,6.11884,4.43571,217.313
260,6.11768,4.45208,153.003
261,6.11677,4.43449,215.536
262,6.11562,4.45072,151.754
263,6.11471,4.43329,213.781
264,6.11358,4.44938,150.521
265,6.11269,4.43209,212.048
266,6.11157,4.44805,149.303
267,6.11069,4.43091,210.337
268,6.10958,4.44673,148.101
269,6.10871,4.42974,208.648
270,6.10762,4.44543,146.914
271,6.10675,4.42859,206.979
272,6.10567,4.44414,145.741
273,6.10482,4.42744,205.331
274,6.10376,4.44286,144.582
275,6.10291,4.4263,203.703
276,6.10186,4.4416,143.438
277,6.10103,4.42518,202.094
278,6.09999,4.44035,142.307
279,6.09917,4.42407,200.506
280,6.09814,4.43911,141.19
281,6.09732,4.42296,198.936
282,6.09631,4.43789,140.087
283,6.0955,4.42187,197.384
284,6.0945,4.43667,138.996
285,6.09371,4.42079,195.852
286,6.09271,4.43547,137.919
287,6.09193,4.41972,194.337
288,6.09094,4.43428,136.854
289,6.09017,4.41865,192.84
290,6.0892,4.4331,135.801
291,6.08843,4.4176,191.36
292,6.08747,4.43193,134.761
293,6.08672,4.41656,189.897
294,6.08576,4.43077,133.733
295,6.08502,4.41553,188.452
296,6.08408,4.42963,132.716
297,6.08334,4.4145,187.022
298,6.08241,4.42849,131.711
299,6.08168,4.41349,185.609
300,6.08076,4.42737,130.717
301,6.08004,4.41249,184.212
302,6.07913,4.42626,129.735
303,6.07841,4.41149,182.83
304,6.07751,4.42515,128.763
305,6.07681,4.4105,181.464
306,6.07592,4.42406,127.802
307,6.07522,4.40953,180.112
308,6.07434,4.42298,126.852
309,6.07365,4.40856,178.776
310,6.07278,4.4219,125.912
311,6.0721,4.4076,177.454
312,6.07123,4.42084,124.983
313,6.07056,4.40665,176.147
314,6.06971,4.41979,124.063
315,6.06904,4.4057,174.853
316,6.0682,4.41874,123.153
317,6.06754,4.40477,173.574
318,6.0667,4.41771,122.253
319,6.06605,4.40384,172.308
320,6.06522,4.41668,121.363
321,6.06458,4.40292,171.055
322,6.06376,4.41567,120.482
323,6.06312,4.40201,169.816
324,6.06231,4.41466,119.61
325,6.06168,4.40111,168.589
326,6.06088,4.41366,118.748
327,6.06026,4.40021,167.376
328,6.05946,4.41267,117.894
329,6.05885,4.39933,166.174
330,6.05806,4.41169,117.049
331,6.05745,4.39845,164.985
332,6.05667,4.41072,116.212
333,6.05607,4.39758,163.809
334,6.0553,4.40976,115.384
335,6.0547,4.39671,162.644
336,6.05394,4.4088,114.565
337,6.05335,4.39585,161.491
338,6.0526,4.40786,113.754
339,6.05201,4.395,160.349
340,6.05127,4.40692,112.95
341,6.05069,4.39416,159.219
342,6.04995,4.40599,112.155
343,6.04938,4.39333,158.1
344,6.04864,4.40507,111.368
345,6.04808,4.3925,156.991
346,6.04735,4.40415,110.588
347,6.04679,4.39168,155.894
348,6.04608,4.40325,109.816
349,6.04552,4.39086,154.807
350,6.04481,4.40235,109.051
351,6.04426,4.39005,153.731
352,6.04356,4.40146,108.294
353,6.04302,4.38925,152.665
354,6.04232,4.40058,107.544
355,6.04178,4.38846,151.61
356,6.04109,4.3997,106.801
357,6.04056,4.38767,150.564
358,6.03988,4.39883,106.065
359,6.03935,4.38689,149.528
360,6.03868,4.39797,105.337
361,6.03815,4.38612,148.502
362,6.03748,4.39712,104.614
363,6.03697,4.38535,147.486
364,6.03631,4.39627,103.899
365,6.03579,4.38459,146.478
366,6.03514,4.39543,103.19
367,6.03463,4.38383,145.481
368,6.03398,4.3946,102.488
369,6.03348,4.38308,144.492
370,6.03284,4.39377,101.792
371,6.03234,4.38234,143.512
372,6.0317,4.39295,101.103
373,6.03121,4.3816,142.541
374,6.03058,4.39214,100.419
375,6.03009,4.38087,141.579
376,6.02947,4.39134,99.7423
377,6.02899,4.38014,140.626
378,6.02837,4.39054,99.0712
379,6.02789,4.37942,139.681
380,6.02727,4.38975,98.4061
381,6.0268,4.37871,138.744
382,6.02619,4.38896,97.7469
383,6.02573,4.378,137.816
384,6.02512,4.38818,97.0935
385,6.02466,4.3773,136.896
386,6.02406,4.38741,96.4458
387,6.02361,4.3766,135.984
388,6.02301,4.38664,95.8038
389,6.02256,4.37591,135.08
390,6.02197,4.38588,95.1673
391,6.02152,4.37523,134.183
392,6.02094,4.38513,94.5363
393,6.0205,4.37455,133.295
394,6.01992,4.38438,93.9107
395,6.01948,4.37387,132.414
396,6.01891,4.38364,93.2905
397,6.01847,4.3732,131.54
398,6.01791,4.3829,92.6755
399,6.01748,4.37254,130.674
400,6.01692,4.38217,92.0657
401,6.01649,4.37188,129.815
