,train_loss,val_loss,grad_norm
0,0.287863,0.397328,104.914
1,0.198734,0.207032,146.332
2,0.152356,0.244696,56.7225
3,0.124741,0.159807,91.7322
4,0.106162,0.178998,38.8386
5,0.0928363,0.126263,70.8776
6,0.0816632,0.136906,31.051
7,0.0731921,0.100573,59.019
8,0.0654309,0.106942,26.0987
9,0.0595298,0.0812207,50.247
10,0.0538999,0.0852195,22.3245
11,0.0496555,0.0666533,43.3295
12,0.045467,0.0692677,19.3308
13,0.0423477,0.0555918,37.8069
14,0.0391582,0.0573707,16.9375
15,0.0368182,0.0470876,33.386
16,0.034331,0.048349,15.0206
17,0.0325376,0.0404588,29.843
18,0.0305507,0.0413915,13.4833
19,0.0291456,0.0352176,26.9984
20,0.02752,0.0359359,12.2474
21,0.0263941,0.0310136,24.706
22,0.0250333,0.0315878,11.2493
23,0.0241111,0.0275928,22.8463
24,0.0229478,0.028067,10.4369
25,0.0221764,0.0247699,21.3226
26,0.0211633,0.0251722,9.76845
27,0.0205056,0.0224082,20.0579
28,0.0196091,0.0227573,9.21063
29,0.019039,0.0204067,18.9913
30,0.0182352,0.0207148,8.73749
31,0.0177338,0.0186894,18.0763
32,0.0170053,0.0189652,8.32908
33,0.0165592,0.0171993,17.2772
34,0.0158933,0.0174488,7.97034
35,0.0154925,0.015893,16.5674
36,0.0148798,0.0161206,7.64996
37,0.0145169,0.0147372,15.9272
38,0.0139502,0.0149461,7.35957
39,0.0136197,0.0137059,15.3418
40,0.0130934,0.0138987,7.09298
41,0.012791,0.0127792,14.8004
42,0.0123006,0.0129577,6.84563
43,0.012023,0.011941,14.2951
44,0.0115649,0.0121068,6.61415
45,0.0113093,0.0111787,13.8199
46,0.0108806,0.011333,6.39601
47,0.0106448,0.010482,13.3705
48,0.010243,0.0106258,6.18933
49,0.010025,0.00984258,12.9434
50,0.0096479,0.00997669,5.99268
51,0.00944618,0.00925354,12.5361
52,0.00909188,0.00937869,5.80497
53,0.00890503,0.00870919,12.1467
54,0.00857186,0.00882598,5.62531
55,0.00839865,0.00820473,11.7734
56,0.00808511,0.00831369,5.45303
57,0.00792445,0.00773611,11.4151
58,0.00762918,0.0078377,5.28756
59,0.00748009,0.00729986,11.0706
60,0.00720187,0.00739449,5.12843
61,0.00706348,0.00689298,10.7391
62,0.00680117,0.00698104,4.97523
63,0.00667267,0.00651288,10.4198
64,0.00642524,0.00659472,4.82763
65,0.00630591,0.00615729,10.1119
66,0.00607241,0.00623323,4.68532
67,0.00596158,0.0058242,9.81503
68,0.00574112,0.00589455,4.54802
69,0.00563819,0.00551183,9.52849
70,0.00542996,0.00557689,4.4155
71,0.00533435,0.00521861,9.25183
72,0.00513759,0.00527864,4.28752
73,0.0050488,0.00494311,8.98459
74,0.00486281,0.00499839,4.16389
75,0.00478034,0.00468406,8.72635
76,0.00460448,0.00473483,4.0444
77,0.0045279,0.00444029,8.47673
78,0.00436154,0.0044868,3.9289
79,0.00429044,0.00421076,8.23536
