,train_loss,val_loss,grad_norm
0,86.7158,21.933,3200.94
1,50.8948,90.7865,3976.54
2,43.5892,50.4197,2637.24
3,39.7314,44.3053,2184.67
4,37.3788,32.4816,1687.06
5,35.6899,31.5494,1611.99
6,34.3598,26.8143,1354.04
7,33.2472,27.221,1357.65
8,32.2954,24.6887,1163.01
9,31.4704,25.2756,1178.71
10,30.7511,23.6517,1015.33
11,30.121,24.1462,1033.67
12,29.5669,23.0123,893.632
13,29.0778,23.3731,913.252
14,28.6446,22.5553,792.306
15,28.2594,22.7964,812.822
16,27.9156,22.2026,707.71
17,27.6077,22.3471,728.881
18,27.3308,21.9192,636.92
19,27.0809,21.988,658.534
20,26.8545,21.6855,577.496
21,26.6487,21.6958,599.361
22,26.4608,21.4894,527.401
23,26.2888,21.4541,549.342
24,26.1308,21.3221,484.938
25,25.9851,21.2511,506.806
26,25.8504,21.1773,448.708
27,25.7255,21.0784,470.375
28,25.6094,21.0506,417.563
29,25.501,20.9297,438.926
30,25.3998,20.9385,390.569
31,25.3049,20.8002,411.548
32,25.2158,20.8385,366.973
33,25.1319,20.6867,387.508
34,25.0529,20.749,346.168
35,24.9782,20.5864,366.219
36,24.9075,20.6684,327.672
37,24.8405,20.4975,347.214
38,24.7769,20.5957,311.099
39,24.7165,20.4186,330.12
40,24.659,20.5303,296.143
41,24.6042,20.3484,314.639
42,24.552,20.4715,282.557
43,24.5021,20.2863,300.534
44,24.4544,20.4189,270.146
45,24.4087,20.2314,287.614
46,24.365,20.372,258.752
47,24.3231,20.1832,275.726
48,24.283,20.3307,248.247
49,24.2444,20.1413,264.742
50,24.2073,20.2946,238.525
51,24.1717,20.1054,254.56
52,24.1374,20.2636,229.499
53,24.1045,20.075,245.093
54,24.0727,20.2375,221.097
55,24.0421,20.0499,236.269
56,24.0125,20.2161,213.256
57,23.984,20.03,228.025
58,23.9565,20.1992,205.924
59,23.9299,20.0148,220.308
60,23.9042,20.1867,199.055
61,23.8794,20.0043,213.072
62,23.8553,20.1785,192.608
63,23.8321,19.9983,206.276
64,23.8095,20.1745,186.548
65,23.7877,19.9966,199.882
66,23.7665,20.1744,180.844
67,23.746,19.999,193.859
68,23.7261,20.1783,175.467
69,23.7068,20.0053,188.177
70,23.688,20.1859,170.392
71,23.6698,20.0156,182.81
72,23.652,20.1972,165.594
73,23.6348,20.0295,177.734
74,23.6181,20.2121,161.053
75,23.6018,20.047,172.926
76,23.5859,20.2304,156.75
77,23.5705,20.0679,168.367
78,23.5555,20.252,152.667
79,23.5408,20.0922,164.038
80,23.5266,20.2768,148.788
81,23.5126,20.1197,159.922
82,23.4991,20.3047,145.097
83,23.4858,20.1503,156.003
84,23.4729,20.3357,141.581
85,23.4603,20.1839,152.268
86,23.448,20.3696,138.227
87,23.436,20.2204,148.703
88,23.4243,20.4063,135.025
89,23.4128,20.2597,145.296
90,23.4016,20.4457,131.962
91,23.3907,20.3016,142.036
